drug	disease	label	category	repeat0	repeat1	repeat2	repeat3	repeat4	repeat5	repeat6	repeat7	repeat8	repeat9
5-hydroxytryptophan	C0917801	1	C10	train	train	train	train	train	train	test	train	test	valid
ACT-132577	C2973725	1	C08	train	train	train	train	train	train	train	test	train	train
DB00001	C0002965	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00001	C0040038	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00001	C0040053	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00005	C3495559	1	C05	train	valid	valid	train	train	test	train	train	train	train
DB00006	C0002962	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00006	C0002965	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00006	C0040053	1	C14	test	test	train	train	test	train	train	valid	train	train
DB00007	C0014170	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0014175	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0021359	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0021361	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0023267	1	C04	train	train	train	valid	train	train	valid	train	train	train
DB00007	C0033578	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0034013	1	C19	train	train	test	test	train	train	train	train	train	train
DB00007	C0042133	1	C04	train	train	train	valid	train	train	valid	train	train	train
DB00007	C0376358	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C0919267	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00007	C1458155	1	C04	train	train	train	valid	train	train	valid	train	train	train
DB00007	C2937421	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00008	C0006118	1	C10	train	train	train	train	train	train	test	train	test	valid
DB00008	C0007134	1	C12	train	train	train	test	valid	train	train	train	train	train
DB00008	C0009404	1	C06	train	train	train	train	train	train	train	train	train	test
DB00008	C0018916	1	C04	train	train	train	valid	train	train	valid	train	train	train
DB00008	C0023443	1	C15	train	train	train	valid	train	train	valid	train	train	train
DB00008	C0024437	1	C11	train	test	train	train	train	train	train	train	train	train
DB00008	C0025202	1	C04	train	train	train	valid	train	train	valid	train	train	train
DB00008	C0026764	1	C15	train	train	train	valid	train	train	valid	train	train	train
