seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
42,disease_area,0,7405,636,1448,0.48480662983425415,0.8066298342541437,0.9202928438853373,0.9091604333906325,0.7767145135566189,0.7610062893081762,0.8798908098271156,0.887572909288569,0.7226277372262774,C12|C23
42,disease_area,1,7027,1288,1174,0.43185689948892675,0.8807495741056218,0.9638376078233073,0.9530759704280294,0.8494623655913979,0.8726708074534162,0.9562380321107674,0.9644435711568655,0.8831908831908832,C01|C11|C15
42,disease_area,2,7185,1262,1042,0.6007677543186181,0.7869481765834933,0.9246052469894323,0.9389935952458004,0.7963302752293577,0.7321711568938193,0.9219391457599004,0.9401594892444527,0.7159663865546219,C14
42,disease_area,3,7132,1352,1005,0.573134328358209,0.7980099502487562,0.9236718142968143,0.9372102569446064,0.8027210884353742,0.6915680473372781,0.8677452963167249,0.85534658425437,0.5842472582253241,C01|C05|C26|F03
42,disease_area,4,7464,1034,991,0.5257315842583249,0.7053481331987891,0.8885776126107732,0.8910110075562485,0.6395061728395061,0.8617021276595744,0.9565312623687234,0.9621245524360609,0.8712871287128713,C18|F03
42,disease_area,5,7354,1042,1093,0.484903934126258,0.8764867337602927,0.9564462616039411,0.9535618536075382,0.8656716417910448,0.7763915547024952,0.9271857335954781,0.9419432477639865,0.7872146118721461,C06|C07|C11
42,disease_area,6,7011,1042,1436,0.46866295264623953,0.8725626740947076,0.9560057565837519,0.9483525891960722,0.8566953797963978,0.7581573896353166,0.9251658884246744,0.9394145631431957,0.7636022514071295,C01|C06|C07|C09|C11|C25|F01
42,disease_area,7,7023,1387,1079,0.531047265987025,0.8507877664504171,0.9494685070601302,0.954439794805709,0.8453410182516811,0.8435472242249459,0.9464707130995043,0.9453856992082981,0.835978835978836,C07|C08|C11|C25
42,disease_area,8,7437,588,1464,0.4931693989071038,0.8510928961748634,0.9465769687376336,0.9437087118888274,0.8392330383480826,0.8605442176870748,0.950510080155453,0.9669072776155088,0.8765060240963856,C04|C06|F01
42,disease_area,9,7551,930,1008,0.5744047619047619,0.8700396825396826,0.9604212713021002,0.9646685142365503,0.8776844070961717,0.7774193548387097,0.9173686679174484,0.9313327025517935,0.7661016949152541,C11|C17
43,disease_area,0,7428,1100,1002,0.37924151696606784,0.8972055888223552,0.9686410560162464,0.9520557113950394,0.8522238163558106,0.8127272727272727,0.9235433199896995,0.8962841828394477,0.765375854214123,C01|C07|C15|C16
43,disease_area,1,7103,1027,1400,0.5707142857142857,0.8271428571428572,0.9344709172655503,0.9468115304145475,0.8331034482758621,0.7692307692307693,0.9293220622564993,0.9462060326115476,0.7770460959548448,A10|C08|C20|C23|F01
43,disease_area,2,7204,863,1463,0.44907723855092274,0.8058783321941216,0.9126660397097869,0.9047963201241395,0.7394495412844037,0.8574739281575898,0.9531379230489297,0.9288006024093436,0.8081123244929797,C07|C15|C18
43,disease_area,3,6861,1343,1326,0.4358974358974359,0.8423831070889894,0.944863349554984,0.9293549765739767,0.7968901846452866,0.8242740134028295,0.9466833432379267,0.9597236932930893,0.8363384188626907,C01|C15|C19|F03
43,disease_area,4,6854,1258,1418,0.6001410437235543,0.8589562764456982,0.9579869724797261,0.97028730310542,0.8726114649681528,0.7424483306836248,0.9038767261618604,0.8745436697268504,0.6470588235294118,C05|C06|C11
43,disease_area,5,7349,515,1666,0.4417767106842737,0.8463385354141657,0.9467771154745208,0.9310415128803637,0.8042813455657493,0.8776699029126214,0.9586720867208672,0.9792666853615981,0.9066666666666667,C04|C12
43,disease_area,6,7266,657,1607,0.536403235843186,0.7853142501555694,0.9033510331833259,0.9211895616426581,0.7657841140529531,0.8127853881278538,0.9427073142096818,0.9614302930926254,0.8303448275862069,A10|C05|C18|C19
43,disease_area,7,6744,1684,1102,0.6134301270417423,0.8820326678765881,0.9651984887629526,0.9764441565418132,0.8992248062015504,0.8135391923990499,0.939831062023099,0.9573115477419929,0.8295331161780674,C05|C06
43,disease_area,8,7559,644,1327,0.5139412207987942,0.8229088168801808,0.9577985405442271,0.9554033114315921,0.8016877637130801,0.7406832298136646,0.890639002532632,0.90891544680739,0.712564543889845,C01|C05|C15
43,disease_area,9,7536,776,1218,0.5706075533661741,0.8784893267651889,0.9584164408435012,0.9687213933183874,0.8871951219512195,0.8002577319587629,0.9234369512396161,0.9501962077393056,0.827968923418424,C06|C08|C25
44,disease_area,0,7476,912,1168,0.5077054794520548,0.738013698630137,0.9083598504289171,0.9059212816625066,0.6695464362850972,0.8728070175438597,0.9465738799222824,0.9417742202143584,0.8654292343387471,A10|C11|C18|C26|F01
44,disease_area,1,6817,1759,980,0.6275510204081632,0.7948979591836735,0.9513665218843969,0.9685109305463853,0.8112676056338027,0.8800454803865833,0.9569653948535937,0.9500449425361635,0.8663711209626346,C05|C09|C11|C20
44,disease_area,2,7257,1290,1009,0.6204162537165511,0.8265609514370664,0.9483228922496851,0.9613815754249158,0.8463564530289728,0.8922480620155039,0.9601663405088062,0.9668472366214509,0.9032707028531664,C14
44,disease_area,3,7052,606,1898,0.5279241306638567,0.7697576396206534,0.9318116000142572,0.9324071351325667,0.7375375375375375,0.8613861386138614,0.9442703768624015,0.9451093552222827,0.864516129032258,C01|C05|C10|C20
44,disease_area,4,7392,1162,1002,0.47904191616766467,0.7475049900199601,0.913286238825032,0.8971659253657861,0.6640106241699868,0.8777969018932874,0.9615225020154597,0.9649117095593994,0.8718411552346571,C10
44,disease_area,5,7289,566,1701,0.43268665490887714,0.8242210464432687,0.9422603626943006,0.9151311683179195,0.7654901960784314,0.842756183745583,0.9616718027734977,0.9495234683416642,0.7813267813267812,C04|C12
44,disease_area,6,7141,1210,1205,0.6116182572614108,0.7892116182572614,0.9239814911456703,0.946751382978,0.8031007751937985,0.7239669421487603,0.8899763734322557,0.8951310459995725,0.6895910780669146,C05|C07|C08
44,disease_area,7,7461,373,1722,0.5371660859465738,0.772938443670151,0.9146800501882058,0.9231131685621313,0.7491982039769083,0.8847184986595175,0.9683848200856184,0.9635574867927418,0.8660436137071651,C17|C18|F03
44,disease_area,8,7572,743,1241,0.5600322320709106,0.8767123287671232,0.9542546182833953,0.9609563849205435,0.8857356235997013,0.7927321668909825,0.9305172740662963,0.9092928388646907,0.7389830508474576,C06|C08|C25
