seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1
42,random,0,9481,0,2371,0.5002108814846057,0.9278785322648672,0.9814509644872315,0.9821977926233991,0.9291338582677166
42,random,1,9481,0,2371,0.49978911851539437,0.9160691691269507,0.973828989405227,0.972555182197724,0.9161399072903498
42,random,2,9482,0,2370,0.5,0.929957805907173,0.9784600046288878,0.9782371989282248,0.9294217687074829
42,random,3,9482,0,2370,0.5,0.9316455696202531,0.982962132136944,0.9840379398444714,0.9315300084530854
42,random,4,9482,0,2370,0.5,0.929535864978903,0.9796685004183802,0.9772265615638134,0.9303295786399667
43,random,0,9481,0,2371,0.5002108814846057,0.929143821172501,0.9778584185397856,0.9782991538049961,0.9293523969722455
43,random,1,9481,0,2371,0.49978911851539437,0.9350485027414593,0.9826563067005357,0.9830403988440437,0.9345794392523364
43,random,2,9482,0,2370,0.5,0.9375527426160337,0.9847082910502235,0.9851764035183765,0.9377104377104376
43,random,3,9482,0,2370,0.5,0.9316455696202531,0.9823475582616745,0.9820997024980078,0.9324437030859049
43,random,4,9482,0,2370,0.5,0.9282700421940928,0.9801107372394026,0.977474031535042,0.9281487743026204
44,random,0,9481,0,2371,0.5002108814846057,0.9270350063264445,0.9784568204296256,0.9795521437308867,0.9269117025771018
44,random,1,9481,0,2371,0.49978911851539437,0.9228173766343315,0.975788204153948,0.9744201940375834,0.9233989116785266
44,random,2,9482,0,2370,0.5,0.9312236286919832,0.9827805373070555,0.9831107115836528,0.9319415448851774
44,random,3,9482,0,2370,0.5,0.9215189873417722,0.9775968950844772,0.9787773230036798,0.9215189873417722
44,random,4,9482,0,2370,0.5,0.929957805907173,0.9807516601684202,0.9809139895107308,0.9300168634064081
45,random,0,9481,0,2371,0.5002108814846057,0.9299873471109237,0.9782433595890168,0.9783943107328178,0.9306020066889632
45,random,1,9481,0,2371,0.49978911851539437,0.9333614508646141,0.9811229463288292,0.9817273678326434,0.9338358458961475
45,random,2,9482,0,2370,0.5,0.9232067510548523,0.9765308266125442,0.9741426490306636,0.9235294117647058
45,random,3,9482,0,2370,0.5,0.9270042194092827,0.9801677081664264,0.9819614807254077,0.9269117025771019
45,random,4,9482,0,2370,0.5,0.929535864978903,0.9810350905303636,0.979922335316881,0.9297433740008415
46,random,0,9481,0,2371,0.5002108814846057,0.9350485027414593,0.9821987889654975,0.9824222572754862,0.9349112426035503
46,random,1,9481,0,2371,0.49978911851539437,0.9240826655419654,0.9803744103144278,0.980580924466925,0.9250624479600333
46,random,2,9482,0,2370,0.5,0.9240506329113924,0.9782036354572807,0.9784905359238716,0.924114671163575
46,random,3,9482,0,2370,0.5,0.919831223628692,0.9764987804660935,0.976618435206279,0.9199663016006739
46,random,4,9482,0,2370,0.5,0.9172995780590717,0.9734415780946786,0.9716509023727428,0.9175084175084175
47,random,0,9481,0,2371,0.5002108814846057,0.9304091100801349,0.9816110601176881,0.981733437238876,0.9307595467897609
47,random,1,9481,0,2371,0.49978911851539437,0.9329396878954028,0.9794451441216442,0.9800371326259331,0.9328263624841572
47,random,2,9482,0,2370,0.5,0.9375527426160337,0.983197137210917,0.9826177867232019,0.9378673383711168
47,random,3,9482,0,2370,0.5,0.9219409282700421,0.9778511278463209,0.976728189887351,0.9223015539689208
