drug	disease	label	fold
5-hydroxytryptophan	C0917801	1	1
ACT-132577	C2973725	1	0
DB00001	C0002965	1	3
DB00001	C0040038	1	2
DB00001	C0040053	1	3
DB00002	C0007102	1	3
DB00002	C1168401	1	0
DB00004	C0079773	1	2
DB00005	C0003872	1	1
DB00005	C0003873	1	3
DB00005	C0038013	1	2
DB00005	C3495559	1	0
DB00006	C0002962	1	3
DB00006	C0002965	1	0
DB00006	C0040053	1	4
DB00007	C0014170	1	0
DB00007	C0014175	1	4
DB00007	C0021359	1	1
DB00007	C0021361	1	1
DB00007	C0023267	1	0
DB00007	C0033578	1	0
DB00007	C0034013	1	0
DB00007	C0042133	1	0
DB00007	C0376358	1	4
DB00007	C0919267	1	1
DB00007	C1458155	1	0
DB00007	C2937421	1	4
DB00008	C0006118	1	3
DB00008	C0007134	1	3
DB00008	C0009404	1	1
DB00008	C0018916	1	1
DB00008	C0023443	1	3
DB00008	C0024437	1	3
DB00008	C0025202	1	3
DB00008	C0026764	1	2
DB00008	C0026948	1	4
DB00008	C0036220	1	0
DB00008	C0036920	1	3
DB00008	C0037286	1	0
DB00008	C0037299	1	1
DB00008	C0040028	1	0
DB00008	C0276535	1	4
DB00008	C0524909	1	0
DB00008	C0524910	1	1
DB00008	C1540912	1	1
DB00008	C2239176	1	3
DB00009	C0027051	1	0
DB00009	C0034065	1	4
DB00009	C0040053	1	3
DB00009	C0948008	1	4
DB00010	C0013338	1	4
DB00010	C0021359	1	0
DB00010	C0343755	1	2
DB00012	C0002871	1	0
DB00013	C0010072	1	3
DB00013	C0027051	1	4
DB00013	C0034065	1	4
DB00013	C0040053	1	3
DB00013	C0042487	1	2
DB00014	C0006142	1	3
DB00014	C0014175	1	4
DB00015	C0018802	1	1
DB00015	C0027051	1	0
DB00015	C0034065	1	0
DB00015	C0040053	1	1
DB00015	C0242973	1	1
DB00016	C0002871	1	1
DB00017	C0020437	1	0
DB00017	C0029401	1	1
DB00017	C0029456	1	1
DB00017	C0029458	1	2
DB00020	C0019829	1	0
DB00020	C0023449	1	1
DB00020	C1458155	1	4
DB00022	C0006118	1	1
DB00022	C0007134	1	3
DB00022	C0009404	1	4
DB00022	C0018916	1	4
DB00022	C0023443	1	2
DB00022	C0024437	1	1
DB00022	C0025202	1	1
DB00022	C0026764	1	1
DB00022	C0026948	1	2
DB00022	C0036220	1	3
DB00022	C0036920	1	2
DB00022	C0037286	1	4
DB00022	C0037299	1	0
DB00022	C0040028	1	1
DB00022	C0524910	1	1
DB00022	C1540912	1	4
DB00022	C2239176	1	2
DB00024	C0020676	1	3
DB00024	C0040136	1	2
DB00025	C0019080	1	3
DB00026	C0003873	1	4
DB00026	C0409818	1	3
DB00026	C2316212	1	4
DB00028	C0002880	1	1
DB00028	C0011633	1	1
DB00028	C0021051	1	4
DB00028	C0023418	1	4
DB00028	C0023434	1	3
DB00028	C0026691	1	3
DB00029	C0027051	1	3
DB00029	C0034065	1	0
DB00029	C0040053	1	2
DB00030	C0011849	1	1
DB00030	C0011854	1	4
DB00030	C0011860	1	0
DB00030	C0021655	1	0
DB00030	C2748055	1	3
DB00031	C0010072	1	3
DB00031	C0027051	1	4
DB00031	C0040053	1	3
DB00032	C0021359	1	3
DB00033	C0006118	1	4
DB00033	C0007134	1	3
DB00033	C0009404	1	0
DB00033	C0018203	1	2
DB00033	C0018916	1	1
